speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,subnational2Code,subnational2Name,subnational1Code,subnational1Name,countryCode,countryName,userDisplayName,obsId,checklistId,presenceNoted,hasComments,firstName,lastName,hasRichMedia,exoticCategory
dowwoo,Downy Woodpecker,Dryobates pubescens,L2987624,McGolrick Park,2024-01-10 15:58:00,,40.7245046,-73.9433616,True,False,False,S158590833,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1920818764,CL23822,False,False,Michael,Lombardo,False,
yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius,L2987624,McGolrick Park,2024-01-10 09:04:00,,40.7245046,-73.9433616,True,False,False,S158563250,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1920525739,CL23822,False,False,Michael,Lombardo,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504435,CL23822,True,False,Parsley,Steinweiss,False,N
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504436,CL23822,False,False,Parsley,Steinweiss,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504433,CL23822,False,False,Parsley,Steinweiss,False,
amecro,American Crow,Corvus brachyrhynchos,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504439,CL23822,False,False,Parsley,Steinweiss,False,
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504431,CL23822,True,False,Parsley,Steinweiss,False,N
normoc,Northern Mockingbird,Mimus polyglottos,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504434,CL23822,False,False,Parsley,Steinweiss,False,
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504437,CL23822,True,False,Parsley,Steinweiss,False,
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504438,CL23822,False,False,Parsley,Steinweiss,False,N
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-10 07:45:00,,40.7245046,-73.9433616,True,False,False,S158560562,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1920504432,CL23822,False,False,Parsley,Steinweiss,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-11 08:39:00,,40.7245046,-73.9433616,True,False,False,S158626739,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1921223458,CL23822,True,False,Greg,Thornberg,False,N
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-11 08:39:00,,40.7245046,-73.9433616,True,False,False,S158626739,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1921223459,CL23822,True,False,Greg,Thornberg,False,
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-11 08:39:00,,40.7245046,-73.9433616,True,False,False,S158626739,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1921223457,CL23822,True,False,Greg,Thornberg,False,N
coohaw,Cooper's Hawk,Astur cooperii,L2987624,McGolrick Park,2024-01-11 08:17:00,,40.7245046,-73.9433616,True,False,False,S158626991,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1921225292,CL23822,False,False,Michael,Lombardo,False,
amecro,American Crow,Corvus brachyrhynchos,L2987624,McGolrick Park,2024-01-11 08:17:00,,40.7245046,-73.9433616,True,False,False,S158626991,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1921225293,CL23822,False,False,Michael,Lombardo,False,
